,zip,city,county,lat,long
0,90011,Los Angeles,Los Angeles,34.0079,-118.2582
1,90650,Norwalk,Los Angeles,33.9056,-118.0818
2,91331,Pacoima,Los Angeles,34.2556,-118.4208
3,90201,Bell,Los Angeles,33.9653,-118.1515
4,90044,Los Angeles,Los Angeles,33.9551,-118.2901
5,92335,Fontana,San Bernardino,34.0794,-117.4551
6,92336,Fontana,San Bernardino,34.1173,-117.4378
7,94565,Pittsburg,Contra Costa,38.0031,-121.9172
8,90250,Hawthorne,Los Angeles,33.9143,-118.3493
9,90805,Long Beach,Los Angeles,33.8635,-118.1801
10,90280,South Gate,Los Angeles,33.9462,-118.2013
11,91342,Sylmar,Los Angeles,34.3054,-118.4322
12,92503,Riverside,Riverside,33.9208,-117.4589
13,92683,Westminster,Orange,33.7524,-117.9939
14,91710,Chino,San Bernardino,34.0125,-117.6844
15,92154,San Diego,San Diego,32.5753,-117.0707
16,91911,Chula Vista,San Diego,32.6084,-117.0565
17,92804,Anaheim,Orange,33.8186,-117.9729
18,92376,Rialto,San Bernardino,34.1132,-117.3771
19,93307,Bakersfield,Kern,35.3275,-118.9839
20,92592,Temecula,Riverside,33.4983,-117.0958
21,92704,Santa Ana,Orange,33.7249,-117.909
22,93722,Fresno,Fresno,36.7918,-119.8801
23,94112,San Francisco,San Francisco,37.7195,-122.4411
24,93033,Oxnard,Ventura,34.1685,-119.1717
25,93727,Fresno,Fresno,36.7528,-119.7061
26,95076,Watsonville,Santa Cruz,36.9102,-121.7569
27,92345,Hesperia,San Bernardino,34.4222,-117.3025
28,91744,La Puente,Los Angeles,34.0289,-117.9373
29,92126,San Diego,San Diego,32.9161,-117.1402
30,91709,Chino Hills,San Bernardino,33.9797,-117.7308
31,92509,Riverside,Riverside,34.0033,-117.445
32,91335,Reseda,Los Angeles,34.2007,-118.5391
33,95823,Sacramento,Sacramento,38.4797,-121.4438
34,95630,Folsom,Sacramento,38.6709,-121.1529
35,94533,Fairfield,Solano,38.2671,-122.0357
36,94544,Hayward,Alameda,37.6374,-122.067
37,91706,Baldwin Park,Los Angeles,34.0964,-117.9682
38,90706,Bellflower,Los Angeles,33.8867,-118.1265
