COUNTYNAME,Average Walkability,Std Deviation Walkability,Minimum Walkability Census Tract,25th percentile walkability census tract,50th percentile walkability census tract,75th percentile walkability census tract,Maximum Walkability Census Tract
Alameda County,10.87836873,4.505547695,1,6.833333333,11.83333333,14.5,19.83333333
Alpine County,10.90462701,4.231477418,1,7.166666667,11.66666667,14.33333333,20
Amador County,10.18161269,4.333393862,1,6.333333333,10.5,13.83333333,19.83333333
Butte County,9.16691276,4.577870378,1,5.333333333,8.166666667,13.33333333,20
Calaveras County,9.077979132,4.30218171,1,5.5,8.333333333,12.83333333,20
Colusa County,9.363059662,4.08458256,1,6,9,12.83333333,19.33333333
Contra Costa County,10.45232313,4.084138175,1,7,11,13.83333333,19.83333333
Del Norte County,7.162515664,3.356905526,1,4.833333333,6.5,9,19.83333333
El Dorado County,9.928558982,4.554904322,1,6,9.5,14,19.83333333
Fresno County,8.832211342,4.201279408,1,5.333333333,8,12.33333333,20
Glenn County,8.231199539,4.006573344,1,5.166666667,7.166666667,11,19.5
Humboldt County,8.524691358,4.234613655,1,5.041666667,7.5,12.16666667,19.5
Imperial County,9.801557526,4.649957927,1,5.833333333,9.166666667,14,19.66666667
Inyo County,8.429585869,4.062687152,1,5.166666667,7.5,11.66666667,19.66666667
Kern County,9.748569024,4.10329061,1,6.333333333,9.833333333,13,19.5
Kings County,12.14365006,4.067294484,1,9.5,13,15.16666667,20
Lake County,10.31575794,4.497996092,1,6.333333333,10.66666667,13.83333333,20
Lassen County,10.07859548,4.163776374,1,6.5,10.33333333,13.5,19.83333333
Los Angeles County,12.39511651,4.005342716,1,10,13.33333333,15.33333333,20
Madera County,8.518988434,4.332637342,1,4.833333333,7.833333333,12.16666667,20
Marin County,8.440430226,4.095855978,1,5.333333333,7.5,11.16666667,19.66666667
Mariposa County,8.545200792,4.216337906,1,5.333333333,7.833333333,11.5,19.16666667
Mendocino County,8.596948819,4.392758775,1,5,7.666666667,12.16666667,20
Merced County,11.18560714,4.386662907,1,7.666666667,12.16666667,14.66666667,19.83333333
Modoc County,9.622703412,4.232387287,1,6,9.5,13.16666667,19.5
Mono County,9.520384792,4.748652855,1,5.666666667,8.5,13.5,20
Monterey County,10.17479036,4.454328755,1,6.166666667,10.5,14,19.66666667
Napa County,9.003106487,4.025989156,1,5.666666667,8.5,12.33333333,19.5
Nevada County,8.497367629,4.134784642,1,5.333333333,7.666666667,11.66666667,19.16666667
Orange County,11.70181746,4.224546246,1,8.5,12.5,15,20
Placer County,10.27559199,4.43066861,1,6.5,10.5,13.83333333,20
Plumas County,8.82202729,4.442998265,1,5,8.166666667,12.66666667,19.33333333
Riverside County,9.351517884,4.210097804,1,5.666666667,9.333333333,12.95833333,19.33333333
Sacramento County,10.01266288,4.271696012,1,6.333333333,10.33333333,13.5,20
San Benito County,7.27338403,3.369579894,1,4.666666667,6.833333333,9.5,19.66666667
San Bernardino County,9.481295832,4.054415322,1,6,9.333333333,12.83333333,19.66666667
San Diego County,10.09715365,4.305137672,1,6.333333333,10.16666667,13.66666667,19.66666667
San Francisco County,10.12910636,5.471656866,1,5,9,15.5,20
San Joaquin County,8.345662586,4.095141724,1,5,7.666666667,11.16666667,19.83333333
San Luis Obispo County,10.00507115,4.486554424,1,6.166666667,10.16666667,13.83333333,20
San Mateo County,11.07872047,4.335897953,1,7.5,11.83333333,14.66666667,20
Santa Barbara County,7.549412031,3.750948289,1,4.666666667,6.833333333,9.833333333,19.33333333
Santa Clara County,10.63506448,4.50346911,1,6.666666667,11.33333333,14.5,19.66666667
Santa Cruz County,8.063318777,4.040119286,1,5,7.333333333,10.5,20
Shasta County,8.304395604,3.690483299,1,5.333333333,7.666666667,11,19.33333333
Sierra County,8.828743838,4.113997925,1,5.666666667,8.166666667,12,20
Siskiyou County,7.549454829,3.71843386,1,4.833333333,6.666666667,9.666666667,19.33333333
Solano County,10.34895403,4.244249111,1,6.833333333,10.83333333,13.66666667,19.83333333
Sonoma County,9.075326672,4.02457647,1,5.833333333,8.5,12.5,19.83333333
Stanislaus County,8.757354605,3.886331505,1,5.833333333,8,11.83333333,19.66666667
Sutter County,11.38953488,4.620551022,1,7.333333333,12.83333333,15.125,19.83333333
Tehama County,9.057391413,3.851199711,1,6.166666667,8.5,12,19.66666667
Trinity County,7.361234788,3.934401345,1,4.333333333,6.333333333,9.666666667,19.16666667
Tulare County,6.674836601,2.851695501,1,4.333333333,6.333333333,8.666666667,17
Tuolumne County,8.794189088,4.108344091,1,5.5,8,12.16666667,19
Ventura County,9.078321678,4.201567622,1,5.666666667,8.333333333,12.5,20
Yolo County,10.47869909,4.08257371,1,7,11,13.66666667,20
Yuba County,7.350767754,3.942766161,1,4.333333333,6.333333333,9.5,19.33333333
