serviceAreas,Unnamed: 0_x,zip,city,county,lat,long,Unnamed: 0_y,Geography,Geographic Area Name,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!White,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
Glenn,873,95963,Orland,Glenn,39.7314,-122.2534,1628,8600000US95963,95963,15904,7826,8078,96.9,1282,1005,1428,1050,1066,1944,1950,1666,840,1083,1595,578,417,35.5,4372,11980,11532,10785,3250,2590,11532,5657,5875,96.3,2590,1283,1307,98.2,15904,15447,457,15447,13114,21,268,0,0,27,0,160,7,13,39,10,2,0,89,3,3,0,0,0,1881,457,0,219,6,0,15904,13555,21,490,171,21,2108,15904,7377,6815,32,0,530,8527,8046,5,102,160,3,0,211,27,184,5989,9772,4903,4869
Glenn,1020,95988,Willows,Glenn,39.5353,-122.2597,1647,8600000US95988,95988,8460,4632,3828,121,532,402,769,658,253,973,1017,1172,364,676,748,731,165,41.2,2207,6545,6253,6061,2057,1644,6253,3232,3021,107,1644,755,889,84.9,8460,8136,324,8136,6673,100,204,0,9,45,0,617,0,1,0,31,0,32,553,9,0,0,9,0,533,324,84,150,57,0,8460,6987,186,366,674,9,564,8460,2059,1912,42,25,80,6401,5302,100,108,617,9,0,265,0,265,3604,5523,2726,2797
Glenn,1217,95951,Hamilton City,Glenn,39.7386,-122.0085,1618,8600000US95951,95951,2603,1245,1358,91.7,158,152,291,298,284,431,220,317,129,80,124,91,28,28.3,706,1995,1897,1656,282,243,1897,892,1005,88.8,243,83,160,51.9,2603,2526,77,2526,1828,21,0,0,0,0,0,93,0,0,16,0,0,0,77,0,0,0,0,0,584,77,0,16,0,0,2603,1905,21,16,93,0,645,2603,2221,2153,0,0,68,382,289,0,0,93,0,0,0,0,0,955,1321,592,729
Glenn,1431,95943,Glenn,Glenn,39.6069,-122.0384,1610,8600000US95943,95943,731,415,316,131.3,61,36,63,66,38,98,73,72,71,46,55,38,14,36.1,219,568,512,496,130,107,512,296,216,137,107,57,50,114,731,706,25,706,685,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0,13,0,0,731,710,12,13,0,0,21,731,129,118,0,0,11,602,577,12,0,0,0,0,13,0,13,351,497,292,205
Glenn,1464,95939,Elk Creek,Glenn,39.5306,-122.6124,1607,8600000US95939,95939,592,338,254,133.1,29,56,24,17,44,119,57,59,67,38,63,13,6,36.1,111,483,481,459,94,82,481,312,169,184.6,82,46,36,127.8,592,577,15,577,352,42,145,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,0,3,0,0,592,365,45,157,9,0,48,592,101,101,0,0,0,491,301,42,140,0,0,0,8,0,8,319,473,304,169
Glenn,1549,95920,Butte City,Glenn,39.4568,-121.9515,1594,8600000US95920,95920,304,149,155,96.1,19,6,19,11,53,38,24,15,22,38,43,16,0,36.2,51,256,253,237,67,59,253,119,134,88.8,59,36,23,156.5,304,304,0,304,247,0,15,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,33,0,0,0,0,0,304,247,0,15,9,0,33,304,121,106,0,0,15,183,164,0,10,9,0,0,0,0,0,151,233,119,114
Butte,352,95926,Chico,Butte,39.7458,-121.8444,1598,8600000US95926,95926,41390,20643,20747,99.5,2019,2153,1529,4737,8650,5837,4030,3537,1672,1788,3323,1296,819,26.8,7246,35223,34144,28782,6571,5438,34144,16950,17194,98.6,5438,2171,3267,66.5,41390,38243,3147,38243,32500,1139,244,0,0,0,0,2358,183,305,207,128,199,24,1312,39,16,10,13,0,1963,3147,621,499,798,8,41390,35509,1847,770,3314,243,2955,41390,6839,5889,222,33,695,34551,28973,1120,89,2341,13,37,1978,106,1872,17373,32633,16296,16337
Butte,406,95928,Chico,Butte,39.7224,-121.8113,1599,8600000US95928,95928,38655,18674,19981,93.5,1650,2020,1968,2945,6187,5870,4337,3869,2088,2436,3217,1259,809,32,6776,32622,31879,29040,6673,5285,31879,15341,16538,92.8,5285,2192,3093,70.9,38655,36791,1864,36791,31873,714,256,0,3,0,16,1496,77,222,289,35,188,52,633,208,205,0,3,0,2244,1864,325,366,539,5,38655,33537,1168,687,2245,476,2551,38655,6931,5904,54,33,940,31724,27862,713,216,1337,169,21,1406,43,1363,16462,30594,14703,15891
Butte,451,95973,Chico,Butte,39.8032,-121.8673,1635,8600000US95973,95973,36223,17759,18464,96.2,2383,2517,2147,1810,2642,5347,5244,3956,2459,2347,3132,1553,686,37,8234,28806,27989,26914,6970,5371,27989,13295,14694,90.5,5371,2391,2980,80.2,36223,34092,2131,34092,29749,406,196,16,0,0,0,1521,146,375,148,133,28,101,590,289,13,0,0,276,1931,2131,191,245,408,26,36223,31775,661,477,2018,387,3084,36223,6864,5715,263,20,866,29359,26076,386,126,1409,165,96,1101,176,925,14715,26778,12552,14226
Butte,614,95966,Oroville,Butte,39.4877,-121.4698,1630,8600000US95966,95966,29444,14433,15011,96.1,1591,1596,1441,1927,1879,3231,2996,3561,1964,2182,4032,2075,969,45.2,5826,24455,23618,22600,8325,7076,23618,11592,12026,96.4,7076,3218,3858,83.4,29444,26656,2788,26656,22729,319,845,148,0,35,2,1603,0,28,193,30,0,61,1291,75,1,37,36,1,1085,2788,262,1431,193,7,29444,25457,621,2396,1882,123,1871,29444,4274,3162,115,112,885,25170,20744,307,604,1575,52,53,1835,194,1641,13257,22974,11250,11724
