Unnamed: 0_x,City,Site Name,Facility Type,Unnamed: 0_y,zip,city,county,lat,long,Cost to Renovate Per Square Meter,Square Meteres Available,"Vaccines delivered per square meter, per day",Daily Capacity,100days Capacity
0,Chico,Chico Athletic Center,Pop-Up Clinic,352,95926,Chico,Butte,39.7458,-121.8444,5000,20,6,120,12000
0,Chico,Chico Athletic Center,Pop-Up Clinic,406,95928,Chico,Butte,39.7224,-121.8113,5000,20,6,120,12000
0,Chico,Chico Athletic Center,Pop-Up Clinic,451,95973,Chico,Butte,39.8032,-121.8673,5000,20,6,120,12000
1,Davis,Davis Community Center,Pop-Up Clinic,190,95616,Davis,Yolo,38.5538,-121.7418,5000,20,6,120,12000
2,Lincoln,Lincoln Community Center,Pop-Up Clinic,198,95648,Lincoln,Placer,38.8942,-121.2908,5000,20,6,120,12000
3,Oroville,Oroville Middle School,Pop-Up Clinic,614,95966,Oroville,Butte,39.4877,-121.4698,5000,20,6,120,12000
3,Oroville,Oroville Middle School,Pop-Up Clinic,790,95965,Oroville,Butte,39.6054,-121.5751,5000,20,6,120,12000
4,North Highlands,North Highlands Recreation Center,Pop-Up Clinic,436,95660,North Highlands,Sacramento,38.6707,-121.3781,5000,20,6,120,12000
5,Marysville,Marysville Athletic Center,Pop-Up Clinic,474,95901,Marysville,Yuba,39.1663,-121.5105,5000,20,6,120,12000
6,Orangevale,Orangevale High School,Pop-Up Clinic,546,95662,Orangevale,Sacramento,38.6845,-121.2256,5000,20,6,120,12000
7,Galt,Galt Methodist Church,Pop-Up Clinic,554,95632,Galt,Sacramento,38.2691,-121.3,5000,20,6,120,12000
8,South Lake Tahoe,South Lake Tahoe Community Center,Pop-Up Clinic,592,96150,South Lake Tahoe,El Dorado,38.917,-119.9865,5000,20,6,120,12000
9,Suisun City,Suisun City Community Center,Pop-Up Clinic,617,94585,Suisun City,Solano,38.2408,-122.042,5000,20,6,120,12000
10,Olivehurst,Olivehurst Mosque,Pop-Up Clinic,623,95961,Olivehurst,Yuba,39.0861,-121.5497,5000,20,6,120,12000
11,Granite Bay,Granite Bay Community Center,Pop-Up Clinic,746,95746,Granite Bay,Placer,38.7435,-121.1897,5000,20,6,120,12000
12,Dixon,Dixon Mosque,Pop-Up Clinic,763,95620,Dixon,Solano,38.4403,-121.8088,5000,20,6,120,12000
