,COVID Status,Gender,Race,Hispanic or Latino/A,Age,Trust in science (1-5 scale with 5 indicating most trust),Level of religious commitment (1-10 scale with 10 indicating highest trust),Political orientation (1-10 scale with 10 indicating most conservative and 1 indicating most liberal),How serious would it be for you if you contract COVID-19 in the next year? (1-10 scale with 10 being most serious),How confident are you that you can prevent getting COVID-19 in case of an outbreak? (1-5 scale with 5 being very confident),Please indicate your level of agreement with this statement: ‘My family and friends avoid crowded areas.’ (1-7 scale with 7 being strongly agree),I intend to get vaccinated for COVID-19 when the vaccine becomes available to me. (1-7 scale with 7 being Likely and 1 being Unlikely)
0,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,16,2,2,5,8,4,7,4
1,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,70,5,8,2,5,3,1,6
2,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,34,4,7,1,5,1,7,6
3,Had COVID,Female,Asian,Not Hispanic or Latino/A,39,5,4,4,5,1,5,7
4,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,26,4,3,5,6,3,4,5
5,Had COVID,Male,White,Hispanic or Latino/A,53,3,3,1,9,4,6,6
6,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,50,5,6,5,10,1,5,7
7,Had COVID,Female,Asian,Not Hispanic or Latino/A,50,3,1,3,3,4,4,5
8,Had COVID,Female,White,Hispanic or Latino/A,37,5,4,2,5,1,4,7
9,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,54,3,3,1,10,2,2,6
10,Had COVID,Male,White,Hispanic or Latino/A,51,5,4,1,4,4,4,7
11,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,40,4,4,2,7,1,7,6
12,Hasn't had COVID,Female,White,Hispanic or Latino/A,24,4,4,3,6,1,6,6
13,Had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,52,5,4,4,7,3,2,7
14,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,35,3,3,2,7,5,3,5
15,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,69,2,6,1,7,5,7,5
16,Hasn't had COVID,Male,White,Hispanic or Latino/A,44,5,4,5,5,2,6,7
17,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,41,4,2,3,6,2,7,7
18,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,25,4,10,2,3,4,5,5
19,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,45,5,7,1,3,4,5,6
20,Hasn't had COVID,Female,White,Hispanic or Latino/A,36,5,5,3,4,2,5,7
21,Had COVID,Male,White,Not Hispanic or Latino/A,56,2,3,3,10,4,7,5
22,Hasn't had COVID,Non-Binary or Transgender,Asian,Not Hispanic or Latino/A,28,3,2,4,4,5,7,5
23,Hasn't had COVID,Male,Other,Hispanic or Latino/A,54,5,3,2,9,3,5,7
24,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,9,1,3,8,6,4,7,2
25,Had COVID,Female,Asian,Hispanic or Latino/A,35,4,1,2,6,4,6,7
26,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,51,3,9,6,8,5,4,5
27,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,65,2,8,4,6,4,7,3
28,Hasn't had COVID,Female,White,Hispanic or Latino/A,21,3,2,6,6,5,3,4
29,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,38,4,5,1,8,5,7,7
30,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,19,4,4,6,6,3,4,5
31,Had COVID,Female,Other,Not Hispanic or Latino/A,36,4,3,4,8,1,4,6
32,Hasn't had COVID,Female,White,Hispanic or Latino/A,24,5,3,4,8,3,6,7
33,Had COVID,Female,White,Not Hispanic or Latino/A,39,3,3,4,10,4,7,6
34,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,4,4,3,6,3,7,6
35,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,52,4,3,3,5,2,7,6
36,Hasn't had COVID,Male,White,Hispanic or Latino/A,17,5,3,4,6,3,7,7
37,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,56,5,4,2,4,1,7,7
38,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,59,4,3,3,10,3,5,5
39,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,41,3,4,3,6,1,5,5
40,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,37,4,4,2,4,2,7,5
41,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,45,1,5,3,7,2,7,2
42,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,68,2,3,3,9,4,5,4
43,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,29,5,4,2,3,4,7,5
44,Hasn't had COVID,Male,White,Hispanic or Latino/A,26,5,3,4,6,4,2,6
45,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,34,1,4,4,9,4,5,3
46,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,37,2,4,3,4,4,5,3
47,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,47,1,2,4,9,2,2,3
48,Hasn't had COVID,Female,White,Hispanic or Latino/A,33,3,6,2,4,4,5,5
49,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,64,2,5,4,3,1,7,2
50,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,20,1,4,2,6,4,5,2
51,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,29,5,4,1,8,5,7,7
52,Had COVID,Female,White,Not Hispanic or Latino/A,16,3,5,6,7,3,6,5
53,Had COVID,Female,White,Not Hispanic or Latino/A,24,2,5,4,7,3,3,4
54,Had COVID,Female,Asian,Not Hispanic or Latino/A,45,3,8,3,8,4,3,6
55,Had COVID,Male,White,Hispanic or Latino/A,30,4,3,4,6,3,6,6
56,Had COVID,Female,Asian,Hispanic or Latino/A,40,2,2,1,10,4,4,5
57,Had COVID,Male,White,Hispanic or Latino/A,33,4,6,1,7,5,4,6
58,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,50,1,4,1,7,5,6,3
59,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,26,5,2,3,9,3,5,7
60,Hasn't had COVID,Female,White,Hispanic or Latino/A,20,5,5,6,7,5,5,7
61,Had COVID,Female,White,Not Hispanic or Latino/A,55,3,1,4,8,5,1,5
62,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,5,3,3,9,3,7,7
63,Had COVID,Male,White,Not Hispanic or Latino/A,54,5,4,2,7,2,7,7
64,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,43,5,1,2,10,5,6,7
65,Had COVID,Female,White,Not Hispanic or Latino/A,27,3,7,5,6,4,5,5
66,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,53,5,3,1,7,3,7,7
67,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,5,6,4,10,3,5,7
68,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,20,5,4,4,10,1,4,7
69,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,33,2,8,2,3,5,4,2
70,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,38,4,3,1,9,4,2,5
71,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,19,2,2,5,10,1,6,4
72,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,53,2,4,4,4,5,7,3
73,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,48,3,5,5,7,5,6,5
74,Had COVID,Female,Asian,Not Hispanic or Latino/A,45,1,5,3,5,5,6,3
75,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,53,5,10,1,5,3,6,6
76,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,34,5,3,2,4,2,3,6
77,Hasn't had COVID,Male,White,Hispanic or Latino/A,32,4,3,3,7,4,7,6
78,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,23,3,3,3,7,1,7,5
79,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,68,3,2,2,7,4,2,5
80,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,38,5,5,6,6,1,7,6
81,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,49,2,5,4,2,3,5,3
82,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,51,5,1,1,8,2,7,7
83,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,26,1,5,2,10,2,4,4
84,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,10,1,4,5,3,4,5,2
85,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,31,1,6,1,10,5,7,4
86,Had COVID,Male,Asian,Hispanic or Latino/A,55,5,6,1,4,3,3,7
87,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,20,5,3,3,7,4,6,7
88,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,38,4,4,3,7,2,7,6
89,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,4,5,3,3,2,7,5
90,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,14,1,7,3,8,4,5,3
91,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,56,4,3,3,6,5,2,5
92,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,5,7,7,7,5,4,6
93,Had COVID,Female,White,Not Hispanic or Latino/A,53,5,4,2,4,2,6,7
94,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,23,4,6,2,10,3,6,7
95,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,39,5,3,3,4,5,5,6
96,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,35,4,5,5,6,5,7,6
97,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,31,4,3,1,9,2,3,5
98,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,73,3,6,1,7,3,7,4
99,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,53,5,4,7,9,5,6,7
100,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,35,5,5,3,5,3,3,5
101,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,44,4,4,1,10,2,3,6
102,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,49,5,3,4,8,5,7,7
103,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,27,4,7,9,4,1,4,5
104,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,39,3,7,4,7,1,7,5
105,Had COVID,Female,Asian,Not Hispanic or Latino/A,21,4,7,4,7,2,6,7
106,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,57,1,5,3,10,4,5,3
107,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,38,5,4,2,5,4,5,7
108,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,33,4,3,3,8,3,3,6
109,Had COVID,Female,White,Not Hispanic or Latino/A,29,2,2,4,10,4,7,5
110,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,37,2,2,4,8,2,4,3
111,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,21,4,8,4,10,2,2,5
112,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,36,2,3,1,4,5,7,4
113,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,58,5,4,2,6,2,7,7
114,Hasn't had COVID,Female,White,Hispanic or Latino/A,35,1,5,4,6,5,7,3
115,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,42,4,3,4,8,5,6,6
116,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,50,2,1,3,7,5,7,4
117,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,55,4,6,2,4,3,7,5
118,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,22,5,3,2,5,3,6,7
